from_in,to_in,grade,price,effective_start_timestamp,effective_end_timestamp
0.1010,0.1300,G30,1.00,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G40,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,A40,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,50G50G,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,60G60G,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,70G70G,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,45A45A,1.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G60,1.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,A60,1.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,90G90G,1.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,98G98G,1.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G90,2.00,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G100,2.25,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G115,2.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G140,3.00,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G165,3.50,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G185,3.75,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G200,,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G210,,2025-07-16T11:14:00,1900-01-01
0.1010,0.1300,G235,,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G30,1.00,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G40,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,A40,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,50G50G,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,60G60G,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,70G70G,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,45A45A,1.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G60,1.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,A60,1.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,90G90G,1.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,98G98G,1.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G90,2.50,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G100,2.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G115,3.00,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G140,3.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G165,4.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G185,4.75,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G200,5.00,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G210,5.25,2025-07-16T11:14:00,1900-01-01
0.0810,0.1009,G235,6.00,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G30,1.50,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G40,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,A40,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,50G50G,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,60G60G,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,70G70G,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,45A45A,1.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G60,2.50,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,A60,2.50,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,90G90G,2.50,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,98G98G,2.50,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G90,3.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G100,4.25,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G115,4.25,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G140,5.25,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G165,6.00,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G185,6.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G200,7.25,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G210,7.75,2025-07-16T11:14:00,1900-01-01
0.0550,0.0809,G235,8.50,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G30,1.75,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G40,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,A40,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,50G50G,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,60G60G,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,70G70G,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,45A45A,2.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G60,3.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,A60,3.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,90G90G,3.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,98G98G,3.25,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G90,5.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G100,5.75,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G115,6.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G140,7.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G165,8.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G185,9.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G200,10.00,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G210,10.50,2025-07-16T11:14:00,1900-01-01
0.0400,0.0549,G235,11.50,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G30,2.25,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G40,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,A40,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,50G50G,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,60G60G,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,70G70G,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,45A45A,2.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G60,3.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,A60,3.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,90G90G,3.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,98G98G,3.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G90,5.50,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G100,6.50,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G115,7.00,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G140,8.50,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G165,9.75,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G185,11.00,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G200,,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G210,,2025-07-16T11:14:00,1900-01-01
0.0330,0.0399,G235,,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G30,2.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G40,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,A40,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,50G50G,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,60G60G,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,70G70G,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,45A45A,3.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G60,4.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,A60,4.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,90G90G,4.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,98G98G,4.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G90,6.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G100,7.25,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G115,8.25,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G140,10.00,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G165,11.50,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G185,12.75,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G200,,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G210,,2025-07-16T11:14:00,1900-01-01
0.0280,0.0329,G235,,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G30,3.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G40,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,A40,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,50G50G,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,60G60G,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,70G70G,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,45A45A,3.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G60,5.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,A60,5.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,90G90G,5.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,98G98G,5.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G90,8.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G100,9.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G115,9.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G140,11.00,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G165,12.75,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G185,14.25,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G200,,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G210,,2025-07-16T11:14:00,1900-01-01
0.0250,0.0279,G235,,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G30,3.75,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G40,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,A40,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,50G50G,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,60G60G,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,70G70G,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,45A45A,5.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G60,8.00,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,A60,8.00,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,90G90G,8.00,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,98G98G,8.00,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G90,9.00,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G100,10.25,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G115,12.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G140,14.50,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G165,16.25,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G185,,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G200,,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G210,,2025-07-16T11:14:00,1900-01-01
0.0220,0.0249,G235,,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G30,4.25,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G40,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,A40,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,50G50G,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,60G60G,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,70G70G,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,45A45A,5.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G60,9.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,A60,9.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,90G90G,9.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,98G98G,9.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G90,11.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G100,12.00,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G115,15.25,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G140,17.50,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G165,19.75,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G185,,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G200,,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G210,,2025-07-16T11:14:00,1900-01-01
0.0180,0.0219,G235,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G30,4.25,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G40,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,A40,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,50G50G,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,60G60G,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,70G70G,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,45A45A,5.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G60,9.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,A60,9.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,90G90G,9.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,98G98G,9.50,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G90,13.00,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G100,15.00,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G115,18.00,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G140,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G165,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G185,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G200,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G210,,2025-07-16T11:14:00,1900-01-01
0.0150,0.0179,G235,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G30,5.25,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G40,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,A40,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,50G50G,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,60G60G,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,70G70G,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,45A45A,6.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G60,9.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,A60,9.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,90G90G,9.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,98G98G,9.75,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G90,14.50,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G100,16.25,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G115,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G140,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G165,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G185,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G200,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G210,,2025-07-16T11:14:00,1900-01-01
0.0120,0.0149,G235,,2025-07-16T11:14:00,1900-01-01
