GLNumber,Comments,Description,FSfunction,RatioCode,GLLevel,RatioCodeDesc,coaddress1,coaddress2,cocity,costate,cozip,CompanyName,DrCrAcct,SubtotalGLNumber,Inactive,HideInactive
1000,,ASSETS,Balance Sheet,,0,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1000,False,False
1001,,CURRENT ASSETS,Balance Sheet,,0,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1001,False,False
1015,,Cash in Bank (Q M Fund),Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1050,False,False
1020,,Cash in Bank (Cash Reversing Entries),Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1050,False,False
1021,,Cash in Bank (Wells Fargo),Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1050,False,False
1022,,Cash in Bank (Petty Cash),Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1050,False,False
1030,,Cash in Bank (Payroll),Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1050,False,False
1050,,Total Cash,Balance Sheet,,2,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1399,False,False
1100,,A / R - Standard Product,Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1115,False,False
1101,,A / R - Misc Deposits,Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1115,False,False
1102,,A / R - Other,Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1115,False,False
1103,,A / R - Scrap Sales,Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1115,False,False
1104,,A / R - Bids Receivable,Balance Sheet,,1,,2575 Doswell Ave.,,Saint Paul,MN,55108-1520,Quality Metals,D,1115,False,False
