date,cash_price,3_month,midwest_price,
2024-01-02,1.0598,1.0791,1.2478,
2024-01-03,1.0231,1.0442,1.2111,
2024-01-04,1.014,1.0374,1.202,
2024-01-05,1.0049,1.0265,1.1929,
2024-01-06,,,,
2024-01-07,,,,
2024-01-08,1.0004,1.0219,1.1884,
2024-01-09,0.9979,1.0192,1.1859,
2024-01-10,0.9997,1.0183,1.1877,
2024-01-11,0.9993,1.0183,1.1873,
2024-01-12,0.9866,1.0086,1.1751,
2024-01-13,,,,
2024-01-14,,,,
2024-01-15,0.9766,1.0002,1.1651,
2024-01-16,0.9791,1.0011,1.1676,
2024-01-17,0.9716,0.9931,1.1601,
2024-01-18,0.9664,0.987,1.1549,
2024-01-19,0.9625,0.9818,1.51,
2024-01-20,,,,
2024-01-21,,,,
2024-01-22,0.9571,0.977,1.1456,
2024-01-23,0.973,0.9913,1.162,
2024-01-24,1.0013,1.0179,1.1918,
2024-01-25,0.9927,1.0115,1.1832,
2024-01-26,1.0033,1.1939,1.1939,
2024-01-27,,,,
2024-01-28,,,,
2024-01-29,1.0043,1.021,1.1948,
2024-01-30,1.0099,1.0274,1.1999,
2024-01-31,1.0124,1.0299,1.2024,
2024-02-01,1.0036,1.021,1.1936,
2024-02-02,1.0022,1.0188,1.1922,
2024-02-03,,,,
2024-02-04,,,,
2024-02-05,0.9904,1.0067,1.1804,
2024-02-06,0.9909,1.0074,1.1809,
2024-02-07,0.9959,1.0115,1.1834,
2024-02-08,1.0045,1.0151,1.1895,
2024-02-09,0.9891,1.0038,1.1721,
2024-02-10,,,,
2024-02-11,,,,
2024-02-12,0.9925,1.0052,1.174,
2024-02-13,0.9997,1.0133,1.1792,
2024-02-14,0.9952,1.0083,1.1747,
2024-02-15,1.0002,1.0097,1.1772,
2024-02-16,0.9993,1.0124,1.1738,
2024-02-17,,,,
2024-02-18,,,,
2024-02-19,0.9911,0.9995,1.1656,
2024-02-20,0.9741,0.9904,1.1486,
2024-02-21,1.0031,1.0224,1.1776,
2024-02-22,0.9882,1.0086,1.1626,
2024-02-23,0.9784,0.9965,1.1529,
2024-02-24,,,,
2024-02-25,,,,
